11	12	13	15	19	21	22	23	24	30	43	45	48	51	54	56	71	72	73	74	85	86_date	86_number	87_date	87_number	98	status	11_href	21_href	43_href	45_href
2011 130 550	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2011130550/08	11.12.2009			 22.01.2009 US 12/357,773	27.01.2013			G10L 15/00 (2013.01)							21.07.2011	11.12.2009	US 2009/067788	12.08.2010	WO 2010/090679	"129090, Москва, ул. Б. Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"""		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2011130550&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2011130550&TypeFile=html	http://www.fips.ru/Archive/PAT/2013FULL/2013.01.27/DOC/RUNWA/000/002/011/130/550/DOCUMENT.PDF	
2011 136 720	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2011136720/08	19.01.2010			 03.02.2009 PL 12/364,927	10.03.2013			G10L 15/18 (2013.01)							05.09.2011	19.01.2010	IB 2010/000186	12.08.2010	WO 2010/089645	"129090, Москва, ул. Б. Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"""		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2011136720&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2011136720&TypeFile=html	http://www.fips.ru/Archive/PAT/2013FULL/2013.03.10/DOC/RUNWA/000/002/011/136/720/DOCUMENT.PDF	
172 737	ОПИСАНИЕ ПОЛЕЗНОЙ МОДЕЛИ К ПАТЕНТУ	U1		RU	2017113157	18.04.2017		18.04.2017			21.07.2017		G10L 15/00 (2013.01)	УСТРОЙСТВО ДЛЯ ИДЕНТИФИКАЦИИ МУЗЫКАЛЬНЫХ ПРОИЗВЕДЕНИЙ	RU 81614 U1, 20.03.2009. RU 2427909 C2, 27.08.2011. RU 2008122286 A, 20.11.2013. RU 2295163 C1, 10.03.2007. RU 2422891 C2, 27.06.2011. RU 2012102478 A, 10.08.2013. US 2002/0083060 A1, 27.01.2002. WO 2015/058332 A1, 30.04.2015.		Кузнецов Денис Павлович (RU), Петров Максим Андреевич (RU), Саруханов Ваган Арменович (RU)	"Общество с ограниченной ответственностью ""ДЖЕНТ КЛАБ"" (RU)"							"107078, Москва, Красноворотский пр-д, 3, стр. 1, к. 18, ООО Патентно-правовая фирма ""Искона-II"""	Статус: действует (последнее изменение статуса: 27.07.2017);Пошлина: учтена за 1 год с 18.04.2017 по 18.04.2018	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=172737&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=172737&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2017.07.21/RUNWU1/000/000/000/172/737/%D0%9F%D0%9C-00172737-00001/document.pdf
2010 126 303	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2010126303/08	29.06.2010				10.01.2012			G10L 15/00 (2006.01)	РАСПОЗНАВАНИЕ СООБЩЕНИЙ ЧЕЛОВЕКА		Мирошниченко Владимир Витальевич (RU), Пилкин Виталий Евгеньевич (RU)	Мирошниченко Владимир Витальевич (RU), Пилкин Виталий Евгеньевич (RU)								127081, Москва, Ясный пр-д, 14, корп.1, кв.8, В.Е. Пилкину		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2010126303&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2010126303&TypeFile=html	http://www.fips.ru/Archive/PAT/2012FULL/2012.01.10/DOC/RUNWA/000/002/010/126/303/DOCUMENT.PDF	
2007 122 372	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2007122372/09	14.06.2007			 16.06.2006 SE 60/814,477	20.12.2008			G10L 15/00 (2006.01)	ИНТЕЛЛЕКТУАЛЬНЫЙ СПОСОБ, СИСТЕМА И УЗЕЛ ОГРАНИЧЕНИЯ АУДИО		ЭРИКССОН АБ (SE)	ХЬЮБЕР Ричард Е. (US), ПУНДЖ Арун (US), ХИЛЛ Питер Д. (US)								"129010, Москва, ул. Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. А.В.Мицу"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2007122372&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2007122372&TypeFile=html	http://www.fips.ru/Archive/PAT/2008FULL/2008.12.20/DOC/RUNWA/000/002/007/122/372/DOCUMENT.PDF	
99 107 842	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	99107842/09	14.04.1999				10.03.2001			G10L 15/02 (2000.01)	СПОСОБ АНАЛИЗА РЕЧИ		"Закрытое акционерное общество ""ИстраСофт"""	Толстых Геннадий Дмитриевич, Кнеллер Эммануил Григорьевич, Сборщиков Валерий Владимирович, Суслов Сергей Валерьевич, Демин Евгений Юрьевич								"143500, Московская обл., г. Истра, а/я 108, ЗАО ""ИстраСофт"""		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=99107842&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=99107842&TypeFile=html		
111 944	ОПИСАНИЕ ПОЛЕЗНОЙ МОДЕЛИ К ПАТЕНТУ	U1		RU	2011125526/08	21.06.2011		21.06.2011			27.12.2011		G10L 15/00 (2006.01)	УСТРОЙСТВО ДЛЯ ФОНЕТИЧЕСКОГО АНАЛИЗА И РАСПОЗНАВАНИЯ РЕЧИ			Савченко Андрей Владимирович (RU), Савченко Владимир Васильевич (RU), Акатьев Дмитрий Юрьевич (RU)	Савченко Андрей Владимирович (RU)							603950, г. Нижний Новгород, ул. Минина, 24, НГТУ ОИС	Статус: не действует (последнее изменение статуса: 27.06.2017);Пошлина: учтена за 3 год с 22.06.2013 по 21.06.2014	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=111944&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=111944&TypeFile=html		http://www.fips.ru/Archive/PAT/2011FULL/2011.12.27/DOC/RUNWU1/000/000/000/111/944/DOCUMENT.PDF
160 585	ОПИСАНИЕ ПОЛЕЗНОЙ МОДЕЛИ К ПАТЕНТУ	U1		RU	2015138280/08	09.09.2015		09.09.2015			27.03.2016		G10L 15/18 (2013.01)	СИСТЕМА РАСПОЗНАВАНИЯ РЕЧИ С МОДЕЛЬЮ ВАРИАТИВНОСТИ ПРОИЗНОШЕНИЯ			Чучупал Владимир Яковлевич (RU), Маковкин Константин Александрович (RU)	Чучупал Владимир Яковлевич (RU), Маковкин Константин Александрович (RU)							111398, Москва, ул. Плеханова, 29, корп. 1, кв. 112, Чучупалу Владимиру Яковлевичу	Статус: прекратил действие, но может быть восстановлен (последнее изменение статуса: 07.07.2017);Пошлина: учтена за 1 год с 09.09.2015 по 09.09.2016	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=160585&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=160585&TypeFile=html		http://www.fips.ru/Archive4/PAT/2016FULL/2016.03.27/DOC/RUNWU1/000/000/000/160/585/DOCUMENT.PDF
2 466 468	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2011126653/08	30.06.2011		30.06.2011			10.11.2012		G10L 15/00 (2006.01)	СИСТЕМА И СПОСОБ РАСПОЗНАВАНИЯ РЕЧИ	US 4852170 A, 25.07.1989. WO 97/34293 A1, 18.09.1997. US 2004/0117181 A1, 17.06.2004. EP 0128755 A1, 19.12.1984. RU 2234746 C2, 20.08.2004. RU 2268504 C1, 20.01.2006.		Кочаров Даниил Александрович (RU), Хомяков Александр Борисович (RU)	Кочаров Даниил Александрович (RU), Хомяков Александр Борисович (RU)							"191186, Санкт-Петербург, а/я 230, ""АРС-ПАТЕНТ"", Е.Ю. Чугориной, рег. № 826"	Статус: не действует (последнее изменение статуса: 07.07.2017);Пошлина: учтена за 3 год с 01.07.2013 по 30.06.2014	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2466468&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2466468&TypeFile=html		http://www.fips.ru/Archive/PAT/2012FULL/2012.11.10/DOC/RUNWC1/000/000/002/466/468/DOCUMENT.PDF
2 530 314	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2013118633/08	23.04.2013		23.04.2013			10.10.2014		G10L 15/00 (2013.01)	СПОСОБ ГИБРИДНОЙ ГЕНЕРАТИВНО-ДИСКРИМИНАТИВНОЙ СЕГМЕНТАЦИИ ДИКТОРОВ В АУДИО-ПОТОКЕ	RU 2107950 C1, 27.03.1998. RU 2419890 C1, 27.05.2011. US 5315689 A, 24.05.1994. DE 2431458 A1, 05.02.1976. US 6389392 B1, 14.05.2002. US 5995927 A, 30.11.1999. RU 2230375 C2, 10.06.2004. RU 2047912 C1, 10.11.1995. US 4503241 A, 05.03.1985. RU 2234746 C2, 20.08.2004. RU 2161826 C2, 10.01.2001. US 6411930 B1, 25.06.2002. US 5265191 A, 23.11.1993. RU 2103753 C1, 27.01.1998. US 5339385 A, 16.08.1994		Хитров Михаил Васильевич (RU), Пеховский Тимур Сахиевич (RU), Шулипа Андрей Константинович (RU)	"Общество с ограниченной ответственностью ""ЦРТ-инновации"" (RU)"							197227, Санкт-Петербург, а/я 405, Воропаю Сергею Александровичу	Статус: действует (последнее изменение статуса: 07.07.2017);Пошлина: учтена за 5 год с 24.04.2017 по 23.04.2018	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2530314&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2530314&TypeFile=html		http://www.fips.ru/Archive/PAT/2014FULL/2014.10.10/DOC/RUNWC1/000/000/002/530/314/DOCUMENT.PDF
2010 102 675	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2010102675/08	25.06.2008			 06.07.2007 FR 07290851.0	20.08.2011			G10L 15/22 (2006.01)							08.02.2010	25.06.2008	EP 2008/005161	15.01.2009	WO 2009/007011	"191186, Санкт-Петербург, а/я 230, ""АРС-ПАТЕНТ"", пат.пов. М.В.Хмаре, рег. № 771"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2010102675&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2010102675&TypeFile=html	http://www.fips.ru/Archive/PAT/2011FULL/2011.08.20/DOC/RUNWA/000/002/010/102/675/DOCUMENT.PDF	
2009 106 368	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2009106368/09	24.02.2009				27.08.2010			G10L 15/00 (2006.01); G10L 17/00 (2006.01)	СПОСОБ АУТЕНТИФИКАЦИИ ДИКТОРА ПО ПАРОЛЬНОЙ ФРАЗЕ		"Государственное образовательное учреждение высшего профессионального образования ""Казанский государственный университет им. В.И. Ульянова-Ленина"" (RU)"	Столов Евгений Львович (RU)								420008, г.Казань, ул. Кремлевская, 18, ГОУ ВПО КГУ, патентно-лицензионный отдел Управления научно-инновационной деятельности		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2009106368&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2009106368&TypeFile=html	http://www.fips.ru/Archive/PAT/2010FULL/2010.08.27/DOC/RUNWA/000/002/009/106/368/DOCUMENT.PDF	
2008 141 557	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2008141557/09	20.10.2008				27.04.2010			G10L 15/10 (2006.01)	СПОСОБ РАСПОЗНАВАНИЯ КЛЮЧЕВЫХ СЛОВ В СЛИТНОЙ РЕЧИ		"Федеральное государственное образовательное учреждение высшего профессионального образования ""Чувашский государственный университет имени И.Н. Ульянова"" (RU)"	Семенов Владимир Ильич (RU), Желтов Павел Валерьянович (RU)								428015, г.Чебоксары, Московский пр., 15, ЧГУ, ОИС, Н.Б. Шалуновой		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2008141557&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2008141557&TypeFile=html	http://www.fips.ru/Archive/PAT/2010FULL/2010.04.27/DOC/RUNWA/000/002/008/141/557/DOCUMENT.PDF	
2008 107 759	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2008107759/09	29.08.2006			 31.08.2005 US 60/712,873; 02.11.2005 US 11/265,726	10.09.2009			G10L 15/22 (2006.01)							28.02.2008	29.08.2006	US 2006/033928	08.03.2007	WO 2007/027817	"129090, Москва, ул.Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. А.В.Мицу, рег.№ 364"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2008107759&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2008107759&TypeFile=html	http://www.fips.ru/Archive/PAT/2009FULL/2009.09.10/DOC/RUNWA/000/002/008/107/759/DOCUMENT.PDF	
2008 122 288	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2008122288/08	03.06.2008			 04.06.2007 UA U200706205	27.10.2013			G10L 15/02 (2006.01)	СПОСОБ РАСПОЗНАВАНИЯ МУЗЫКАЛЬНЫХ ПРОИЗВЕДЕНИЙ		"Общество с ограниченной ответственностью ""ПОЛИГОН ИНТЕГРЕЙШН УКРАИНА"" (UA)"	Грабов Евгений Йосифович (UA)								04210, Украина, Киев-210, а/я 57, А.А. Горяинову		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2008122288&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2008122288&TypeFile=html	http://www.fips.ru/Archive/PAT/2013FULL/2013.10.27/DOC/RUNWA/000/002/008/122/288/DOCUMENT.PDF	
2007 149 546	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2007149546/09	13.06.2006			 28.06.2005 US 11/168,770	10.07.2009			G10L 15/20 (2006.01)							27.12.2007	13.06.2006	US 2006/022863	04.01.2007	WO 2007/001821	"129090, Москва, ул.Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. А.В.Мицу, рег.№ 364"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2007149546&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2007149546&TypeFile=html	http://www.fips.ru/Archive/PAT/2009FULL/2009.07.10/DOC/RUNWA/000/002/007/149/546/DOCUMENT.PDF	
2 418 321	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2008118004/09	03.10.2006		03.10.2006	 06.10.2005 US 11/244,554	20.11.2009	10.05.2011		G10L 15/16 (2006.01)		ЕР 1132890 А1, 12.09.2001. WO 2004071130 А1, 19.08.2004. RU 2005104123 А, 10.07.2005. US 2004231498 А1, 25.11.2004. US 2004230428 А1, 18.11.2004. SOLTAU et al Recognition of music types. In Proceedings of the IEEE International Conference on Acostincs, Speech, and Signal PRocessing ((ICAAP-1998). Seattle, Washington, May 1998.					06.05.2008	03.10.2006	US 2006/038742	19.04.2007	WO 2007/044377	"129090, Москва, ул. Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. Ю.Д.Кузнецову, рег.№ 595"	Статус: действует (последнее изменение статуса: 27.10.2016);Пошлина: учтена за 11 год с 04.10.2016 по 03.10.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2418321&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2418321&TypeFile=html		http://www.fips.ru/Archive/PAT/2011FULL/2011.05.10/DOC/RUNWC2/000/000/002/418/321/DOCUMENT.PDF
2 294 023	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2000118824/09	16.12.1998		16.12.1998	 16.12.1997 IL 122632	27.07.2002	20.02.2007		G10L 15/00 (2006.01)		US 3855418 А, 17.12.1974. RU 2073484 C1, 20.02.1997. RU 2004192 C1, 15.12.1993. US 3971034 A, 20.07.1976. US 4093821 A, 06.06.1978. US 5029214 A, 02.07.1991. US 5148483 A, 15.09.1992.					17.07.2000	16.12.1998	IL 98/00613	24.06.1999	WO 99/31653	"129010, Москва, ул. Б. Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. Ю.Д.Кузнецову, рег.№ 595"	Статус: действует (последнее изменение статуса: 28.11.2016);Пошлина: учтена за 19 год с 17.12.2016 по 16.12.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2294023&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2294023&TypeFile=html		http://www.fips.ru/Archive/PAT/2007FULL/2007.02.20/DOC/RUNWC2/000/000/002/294/023/DOCUMENT.PDF
99 118 670	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	99118670/09	27.08.1999			 28.08.1998 EP 98116278.7	27.07.2001			G10L 15/04 (2000.01)	СПОСОБ РАСШИРЕНИЯ АКТИВНОГО СЛОВАРЯ РАСПОЗНАВАТЕЛЕЙ РЕЧИ МЕТОДОМ СЕГМЕНТАЦИИ		ИНТЕРНЭШНЛ БИЗНЕС МАШИНЗ КОРПОРЕЙШН (US)	ЭМАМ Оссама (EG), КУНЦМАНН Зигфрид (DE)		Веселицкая Ирина Александровна						"101000, Москва, Малый Златоустинский пер., д.10, кв.15, ""ЕВРОМАРКПАТ"", И.А Веселицкой"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=99118670&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=99118670&TypeFile=html		
2006 145 366	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2006145366/09	20.12.2006				27.06.2008			G10L 15/00 (2006.01)	МОДУЛЯТОР СВК		Котомин Сергей Владимирович (RU)	Котомин Сергей Владимирович (RU)								141018, Московская обл., Мытищи, ул. Терешковой, 11, кв.127, С.В.Котомину		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2006145366&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2006145366&TypeFile=html	http://www.fips.ru/Archive/PAT/2008FULL/2008.06.27/DOC/RUNWA/000/002/006/145/366/DOCUMENT.PDF	
2007 146 587	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2007146587/09	18.12.2007				27.06.2009			G10L 15/00 (2006.01)	СПОСОБ ПОТОКОВОГО РАСПОЗНАВАНИЯ СМЫСЛА ЖИВОГО ЯЗЫКА		Бочаров Николай Викторович (RU)	Бочаров Николай Викторович (RU)								127224, Москва, ул. Широкая, 13, корп.1, кв.124, Н.В. Бочарову		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2007146587&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2007146587&TypeFile=html	http://www.fips.ru/Archive/PAT/2009FULL/2009.06.27/DOC/RUNWA/000/002/007/146/587/DOCUMENT.PDF	
2009 118 381	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2009118381/09	03.10.2006				10.11.2010			G10L 15/20 (2006.01)							04.05.2009	03.10.2006	RU 2006/000514	10.04.2008	WO 2008/041881	"690035, г.Владивосток, а/я 35-94, ООО ""Первое частное Приморское патентное агентство"", пат.пов. А.Г. Ермолинскому"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2009118381&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2009118381&TypeFile=html	http://www.fips.ru/Archive/PAT/2010FULL/2010.11.10/DOC/RUNWA/000/002/009/118/381/DOCUMENT.PDF	
2 317 595	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2006138374/09	30.10.2006		30.10.2006			20.02.2008		G10L 15/00 (2006.01)	СПОСОБ ОБНАРУЖЕНИЯ ПАУЗ В РЕЧЕВЫХ СИГНАЛАХ И УСТРОЙСТВО ЕГО РЕАЛИЗУЮЩЕЕ	SU 836656 A1, 07.06.1981. RU 2140671 C1, 27.10.1999. RU 2248619 C2, 20.03.2005. US 2005038652 A1, 17.02.2005. US 2001014854 A1, 16.08.2001. US 6049765 A, 11.04.2000.		Белов Сергей Павлович (RU), Белов Александр Сергеевич (RU), Жиляков Евгений Георгиевич (RU), Прохоренко Екатерина Ивановна (RU)	"ГОУ ВПО ""Белгородский государственный университет"" (RU)"							308015, г.Белгород, ул. Победы, 85, Белгородский государственный универсиет, ОИС	Статус: не действует (последнее изменение статуса: 09.11.2015);Пошлина: учтена за 6 год с 31.10.2011 по 30.10.2012	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2317595&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2317595&TypeFile=html		http://www.fips.ru/Archive/PAT/2008FULL/2008.02.20/DOC/RUNWC1/000/000/002/317/595/DOCUMENT.PDF
2005 108 961	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2005108961/09	30.03.2005				10.09.2006			G10L 15/14 (2006.01)	СПОСОБ РАСПОЗНАВАНИЯ СЛОВ В СЛИТНОЙ РЕЧИ		"Федеральное государственное научное учреждение научно-исследовательский институт ""Специализированный вычислительные устройства защиты и автоматика"" (RU)"	Аграновский Александр Владимирович (RU), Леднов Дмитрий Анатольевич (RU), Зулкарнеев Михаил Юрьевич (RU), Арутюнян Роман Эрнстович (RU)								"344002, г.Ростов-на-Дону, пер. Газетный, 51, ГНУ НИИ ""Спецвузавтоматика"""		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005108961&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005108961&TypeFile=html	http://www.fips.ru/Archive/PAT/2006FULL/2006.09.10/DOC/RUNWA/000/002/005/108/961/DOCUMENT.PDF	
2005 109 023	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2005109023/09	30.03.2005				10.09.2006			G10L 15/06 (2006.01); G10L 11/04 (2006.01)	СПОСОБ РАСПОЗНАВАНИЯ СЛОВ РЕЧИ		"Открытое акционерное общество ""Корпорация ""Фазотрон-Научно-исследовательский институт радиостроения"" (RU)"	Гиголо Людмила Антоновна (RU), Сахаров Виталий Олегович (RU)								"123995, Москва, Электрический пер., 1, ОАО ""Корпорация ""Фазотрон-НИИР"", начальнику отдела интеллектуальной собственности В.И. Фаленко"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005109023&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005109023&TypeFile=html	http://www.fips.ru/Archive/PAT/2006FULL/2006.09.10/DOC/RUNWA/000/002/005/109/023/DOCUMENT.PDF	
2005 111 457	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2005111457/09	18.04.2005				27.10.2006			G10L 15/10 (2006.01)	СПОСОБ ДИКТОРОНЕЗАВИСИМОГО РАСПОЗНАВАНИЯ КЛЮЧЕВЫХ СЛОВ В СЛИТНОЙ РЕЧИ		Государственное образовательное учреждение высшего профессионального образования Академия Федеральной службы охраны Российской Федерации (Академия ФСО России) (RU)	Полков Андрей Анатольевич (RU), Миняев Андрей Александрович (RU), Яковлев Вадим Лаврович (RU), Иванов Владимир Алексеевич (RU)								302034, г.Орел, ул. Приборостроительная, 35, Академия ФСО России, БНТИ		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005111457&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2005111457&TypeFile=html	http://www.fips.ru/Archive/PAT/2006FULL/2006.10.27/DOC/RUNWA/000/002/005/111/457/DOCUMENT.PDF	
2006 107 558	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2006107558/09	09.08.2004			 12.08.2003 EP 03102501.8	10.08.2006			G10L 15/22 (2006.01)							13.03.2006	09.08.2004	IB 2004/051420	17.02.2005	WO 2005/015546	"129010, Москва, ул. Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. Г.Б. Егоровой"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2006107558&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2006107558&TypeFile=html	http://www.fips.ru/Archive/PAT/2006FULL/2006.08.10/DOC/RUNWA/000/002/006/107/558/DOCUMENT.PDF	
2006 111 475	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2006111475/09	06.10.2004			 10.10.2003 EP 03103755.9	10.11.2007			G10L 15/22 (2006.01)							07.04.2006	06.10.2004	IB 2004/051995	21.04.2005	WO 2005/036526	"129010, Москва, ул. Б.Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. Г.Б. Егоровой, рег.№ 513"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2006111475&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2006111475&TypeFile=html	http://www.fips.ru/Archive/PAT/2007FULL/2007.11.10/DOC/RUNWA/000/002/006/111/475/DOCUMENT.PDF	
2 294 024	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2005111457/09	18.04.2005		18.04.2005		27.10.2006	20.02.2007		G10L 15/10 (2006.01)	СПОСОБ ДИКТОРОНЕЗАВИСИМОГО РАСПОЗНАВАНИЯ КЛЮЧЕВЫХ СЛОВ В СЛИТНОЙ РЕЧИ	RU 2103753 C1, 27.01.1998. US 5315689 А, 24.05.1994. RU 2230375 С2, 10.06.2004. RU 2047912 С1, 10.11.1995. US 4881266 А, 14.11.1989.		Полков Андрей Анатольевич (RU), Миняев Андрей Александрович (RU), Яковлев Вадим Лаврович (RU), Иванов Владимир Алексеевич (RU)	Государственное образовательное учреждение высшего профессионального образования Академия Федеральной службы охраны Российской Федерации (Академия ФСО России) (RU)							302034, г.Орел, ул. Приборостроительная, 35, Академия ФСО России, БНТИ	Статус: не действует (последнее изменение статуса: 28.04.2010)	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2294024&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2294024&TypeFile=html		http://www.fips.ru/Archive/PAT/2007FULL/2007.02.20/DOC/RUNWC2/000/000/002/294/024/DOCUMENT.PDF
